id,activation_date_time,expiration_date_time,creation_date_time,last_update_date_time,status,content
06c389fa-caa7-406d-8a88-e032bd92abe1,2026-06-05 21:43:51+0000,2026-06-05 21:59:59+0000,2026-06-05 22:01:05+0000,2026-06-05 22:01:05+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Activity tracked"" } heading_level: LEVEL_THREE } } elements { exercise_card_component { exercise_id: ""2851134504484908592"" } } } label_type: STREAM_LABEL_TYPE_ACTIVITY secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { timestamp { seconds: 1780695831 } } expire_time { date_time { year: 2026 month: 6 day: 5 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
1ecadead-d7cc-4d27-952c-f09c0ccb6a7a,2026-06-08 10:57:25+0000,2026-06-08 21:59:59+0000,2026-06-08 12:12:45+0000,2026-06-08 12:12:45+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Activity tracked"" } heading_level: LEVEL_THREE } } elements { exercise_card_component { exercise_id: ""1559720814768648632"" } } } label_type: STREAM_LABEL_TYPE_ACTIVITY secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { timestamp { seconds: 1780916245 } } expire_time { date_time { year: 2026 month: 6 day: 8 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
36c5fb33-0423-4bba-ae32-c3d2d84c0df2,2026-06-08 09:21:00+0000,2026-06-08 21:59:59+0000,2026-06-08 12:12:37+0000,2026-06-08 12:12:37+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_SLEEP_LAST_NIGHT stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_UNSPECIFIED rich_content { rich_element_list { elements { paragraph { content { text: ""A fair night\'s sleep"" } heading_level: LEVEL_TWO } } elements { paragraph { content { text: ""This was a mixed result that might not leave you feeling fully energized for the day ahead"" } heading_level: HEADING_LEVEL_UNSPECIFIED } } elements { sleep_stages_component { should_show_hypnogram_header: false should_show_sleep_composition: true should_show_sleep_session_selection: false sleep_stages_resource { sleep_period { resource_id: ""6074826111967790256"" } } should_show_sleep_hypnogram: true } } } label_type: STREAM_LABEL_TYPE_SLEEP secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { date_time { year: 2026 month: 6 day: 8 hours: 11 minutes: 21 } } expire_time { date_time { year: 2026 month: 6 day: 8 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
4056bbbb-6a32-43cd-9fb3-e31480d81a23,2026-06-05 11:03:51+0000,2026-06-05 21:59:59+0000,2026-06-05 11:12:15+0000,2026-06-05 11:12:15+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Activity tracked"" } heading_level: LEVEL_THREE } } elements { exercise_card_component { exercise_id: ""3988273500049777768"" } } } label_type: STREAM_LABEL_TYPE_ACTIVITY secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { timestamp { seconds: 1780657431 } } expire_time { date_time { year: 2026 month: 6 day: 5 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
5724b258-3ec2-4b4c-adb1-50c88283cbf4,2026-06-06 07:40:00+0000,2026-06-06 21:59:59+0000,2026-06-06 08:00:03+0000,2026-06-06 08:00:03+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Sleep tracked"" } heading_level: LEVEL_TWO } } elements { sleep_stages_component { should_show_hypnogram_header: true should_show_sleep_composition: false should_show_sleep_session_selection: false sleep_stages_resource { sleep_period { resource_id: ""4608256955147926848"" } } should_show_sleep_hypnogram: true } } } label_type: STREAM_LABEL_TYPE_SLEEP secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { date_time { year: 2026 month: 6 day: 6 hours: 9 minutes: 40 } } expire_time { date_time { year: 2026 month: 6 day: 6 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
6683103c-59fa-4417-b5f2-c8da895fd752,2026-06-07 13:33:06+0000,2026-06-07 21:59:59+0000,2026-06-08 12:12:54+0000,2026-06-08 12:12:54+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Activity tracked"" } heading_level: LEVEL_THREE } } elements { exercise_card_component { exercise_id: ""1341513421564423264"" } } } label_type: STREAM_LABEL_TYPE_ACTIVITY secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { timestamp { seconds: 1780839186 } } expire_time { date_time { year: 2026 month: 6 day: 7 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
73918dbd-1e0f-4886-a01d-eb5a1d2be9e3,2026-06-07 08:49:00+0000,2026-06-07 21:59:59+0000,2026-06-08 12:12:36+0000,2026-06-08 12:12:36+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Sleep tracked"" } heading_level: LEVEL_TWO } } elements { sleep_stages_component { should_show_hypnogram_header: true should_show_sleep_composition: false should_show_sleep_session_selection: false sleep_stages_resource { sleep_period { resource_id: ""1980069773172077392"" } } should_show_sleep_hypnogram: true } } } label_type: STREAM_LABEL_TYPE_SLEEP secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { date_time { year: 2026 month: 6 day: 7 hours: 10 minutes: 49 } } expire_time { date_time { year: 2026 month: 6 day: 7 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
8665fe4f-c030-4dbb-95a6-5aeb63a361b1,2026-06-05 06:42:47+0000,2026-06-05 21:59:59+0000,2026-06-05 10:06:06+0000,2026-06-05 10:06:06+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Activity tracked"" } heading_level: LEVEL_THREE } } elements { exercise_card_component { exercise_id: ""7860847077502488128"" } } } label_type: STREAM_LABEL_TYPE_ACTIVITY secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { timestamp { seconds: 1780641767 } } expire_time { date_time { year: 2026 month: 6 day: 5 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
8aed771a-a8a7-4fcf-acad-2bf6f6780f33,2026-06-08 09:21:00+0000,2026-06-08 21:59:59+0000,2026-06-08 12:12:35+0000,2026-06-08 12:12:35+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_TODAY_STREAM stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_TODAY_NOW rich_content { rich_element_list { elements { paragraph { content { text: ""Sleep tracked"" } heading_level: LEVEL_TWO } } elements { sleep_stages_component { should_show_hypnogram_header: true should_show_sleep_composition: false should_show_sleep_session_selection: false sleep_stages_resource { sleep_period { resource_id: ""6074826111967790256"" } } should_show_sleep_hypnogram: true } } } label_type: STREAM_LABEL_TYPE_SLEEP secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { date_time { year: 2026 month: 6 day: 8 hours: 11 minutes: 21 } } expire_time { date_time { year: 2026 month: 6 day: 8 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
8f52cc21-adaa-4c39-bce3-8e4f050a50ae,2026-06-07 08:49:00+0000,2026-06-07 21:59:59+0000,2026-06-08 12:12:37+0000,2026-06-08 12:12:37+0000,STREAM_ENTRY_STATUS_ACTIVE,"[stream_surface: STREAM_SURFACE_SLEEP_LAST_NIGHT stream_section_messages { stream_surface_section: STREAM_SURFACE_SECTION_UNSPECIFIED rich_content { rich_element_list { elements { paragraph { content { text: ""A good night\'s sleep"" } heading_level: LEVEL_TWO } } elements { paragraph { content { text: ""You got the quality sleep needed to build a strong foundation for your day"" } heading_level: HEADING_LEVEL_UNSPECIFIED } } elements { sleep_stages_component { should_show_hypnogram_header: false should_show_sleep_composition: true should_show_sleep_session_selection: false sleep_stages_resource { sleep_period { resource_id: ""1980069773172077392"" } } should_show_sleep_hypnogram: true } } } label_type: STREAM_LABEL_TYPE_SLEEP secondary_label_type: STREAM_LABEL_TYPE_UNSPECIFIED } scheduling_options { activate_time { date_time { year: 2026 month: 6 day: 7 hours: 10 minutes: 49 } } expire_time { date_time { year: 2026 month: 6 day: 7 hours: 23 minutes: 59 seconds: 59 nanos: 999999999 } } } card_style: CARD_STYLE_UNSPECIFIED }]"
