name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",DAILY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(8046720)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2450)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(28800)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 14)",2026-05-21 00:00:00 - 2026-05-22 00:00:00,ENABLED,2026-05-21 14:02:51+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 23)",2026-05-14 00:00:00 - 2026-05-15 00:00:00,ENABLED,2026-05-14 11:24:47+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(23, 43)",2026-05-17 00:00:00 - 2026-05-18 00:00:00,ENABLED,2026-05-17 14:08:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(23, 43)",2026-05-18 00:00:00 - 2026-05-19 00:00:00,ENABLED,2026-05-18 09:28:44+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(26, 41)",2026-05-24 00:00:00 - 2026-05-25 00:00:00,ENABLED,2026-05-24 10:25:44+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(27, 42)",2026-05-24 00:00:00 - 2026-05-25 00:00:00,ENABLED,2026-05-23 23:37:30+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(30, 44)",2026-05-31 00:00:00 - 2026-06-01 00:00:00,ENABLED,2026-06-03 10:10:10+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(30, 44)",2026-05-31 00:00:00 - 2026-06-01 00:00:00,ENABLED,2026-06-03 10:10:20+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(35, 52)",2026-06-01 00:00:00 - 2026-06-02 00:00:00,ENABLED,2026-06-03 10:10:10+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(35, 52)",2026-06-01 00:00:00 - 2026-06-02 00:00:00,ENABLED,2026-06-03 10:10:20+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(41, 59)",2026-05-29 00:00:00 - 2026-05-30 00:00:00,ENABLED,2026-05-28 22:19:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(41, 59)",2026-05-29 00:00:00 - 2026-05-30 00:00:00,ENABLED,2026-05-29 09:22:51+0000,,,,,GOALS,,,
